I'm 19.	J'ai 19 ans.
He is at the head of the class.	C'est le chef de classe.
He is clever at making excuses.	Il est habile à trouver des prétextes.
He is confident of his ability.	Il est confiant dans ses capacités.
He is enjoying his school life.	Il profite de sa vie d'écolier.
He is facing many difficulties.	Il est confronté à de nombreuses difficultés.
He is flying to Paris tomorrow.	Il va à Paris en avion demain.
He is known as a great painter.	Il est connu pour être un grand peintre.
He is known as a great painter.	Il est connu comme un grand peintre.
He is leaving Chicago tomorrow.	Il quittera Chicago demain.
He is leaving Chicago tomorrow.	Il va quitter Chicago demain.
He is less intelligent than me.	Il est moins intelligent que moi.
He is not studying English now.	Il n'apprend pas l'anglais en ce moment.
He is often absent from school.	Il est souvent absent de l'école.
He is something of a celebrity.	Il est une sorte de célébrité.
He is subject to fits of anger.	Il est sujet à des crises de colère.
He is suffering from toothache.	Il souffre d'un mal de dents.
He is taller than me by a head.	Il est plus grand que moi d'une tête.
He is the only child they have.	C'est le seul enfant qu'ils aient.
He is to blame for the failure.	Il est responsable de l'échec.
He is too honest to tell a lie.	Il est trop honnête pour raconter des mensonges.
He is too honest to tell a lie.	Il est trop honnête pour dire un mensonge.
He is too shy to talk to girls.	Il est trop timide pour parler aux filles.
He is too smart not to know it.	Il est trop intelligent pour ne pas le savoir.
He is used to eating in a rush.	Il a l'habitude de manger à la hâte.
He is working in AIDS research.	Il travaille dans la recherche sur le sida.
He's a talented young director.	C'est un jeune directeur plein de talent.
He's afraid of making mistakes.	Il a peur de faire des erreurs.
He's afraid of making mistakes.	Il craint de commettre des erreurs.
He's afraid of making mistakes.	Il a peur de se tromper.
He's always at home on Mondays.	Il est toujours chez lui le lundi.
He's always at home on Mondays.	Il se trouve toujours à son domicile, le lundi.
He's always at home on Sundays.	Il est toujours chez lui le dimanche.
He's been working all day long.	Il a travaillé toute la journée.
He's doing his German homework.	Il fait son devoir d'allemand.
He's interested in many things.	Il est intéressé par beaucoup de choses.
He's just like his grandfather.	Il est exactement comme son grand-père.
He's just trying to be popular.	Il tente juste d'acquérir de la renommée.
He's never been in love before.	Il n'a jamais été amoureux auparavant.
He's never been in love before.	Jamais il n'a été amoureux auparavant.
He's not a very meticulous guy.	Il n'est pas vraiment minutieux.
He's obsessed with cleanliness.	Il est obsédé par la propreté.
He's reading a novel right now.	Il est en train de lire un roman.
He's reading a novel right now.	Il lit un roman, en ce moment.
He's the only one who survived.	Il est le seul à avoir survécu.
He's three years older than me.	Il a trois ans de plus que moi.
He's three years older than me.	Il est trois ans plus vieux que moi.
He's thrilled with his new job.	Il est enthousiasmé par son nouveau travail.
I am anxious about your health.	Je suis inquiet pour ta santé.
I am at the end of my patience.	Ma patience est à bout.
I am going to America by plane.	Je vais en Amérique en avion.
I am going to Europe next week.	Je vais en Europe la semaine prochaine.
I am in favor of your proposal.	Je suis en faveur de votre proposition.
I am in favor of your proposal.	Je suis en faveur de ta proposition.
I am not wearing any underwear.	Je ne porte aucun sous-vêtement.
I am now under a doctor's care.	Je suis désormais traité par un médecin.
I am positive that he is wrong.	Je suis certain qu'il a tort.
I am quite opposed to the plan.	Je suis passablement opposé à ce projet.
I am suffering from a bad cold.	Je souffre d'un mauvais rhume.
I am sure that he will succeed.	Je suis sûr qu'il réussira.
I am terribly afraid of snakes.	J'ai une peur terrible des serpents.
I am tired of listening to Tom.	Je suis fatigué d'écouter Tom.
I am very interested in French.	Je suis très intéressé par la langue française.
I'm a lot more comfortable now.	Je suis beaucoup plus à l'aise maintenant.
I'm a salesman for our company.	Je suis représentant de commerce pour notre société.
I'm accustomed to working hard.	Je suis habituée à travailler dur.
I'm actually kind of flattered.	Je suis en fait plutôt flattée.
I'm actually kind of flattered.	Je suis en fait plutôt flatté.
I'm adamant that you should go.	J'insiste que vous devez partir.
I'm afraid that he can't do it.	Je crains qu'il en soit incapable.
I'm afraid we'll lose the game.	Je crains que nous perdions la partie.
I'm an extremely humble person.	Je suis une personne extrêmement humble.
I'm beginning to lose patience.	Je commence à perdre patience.
I'm beginning to see a pattern.	Je commence à apercevoir un motif.
I'm beginning to see a pattern.	Je commence à distinguer un schéma.
I'm being treated like a child.	On me traite comme un enfant.
I'm buying fruit and chocolate.	J'achète des fruits et du chocolat.
I'm buying my sister a new hat.	J'achète un nouveau chapeau à ma sœur.
I'm calling from my cell phone.	J'appelle de mon téléphone cellulaire.
I'm disgusted and disappointed.	Je suis dégoûté et déçu.
I'm enjoying this warm weather.	Je profite de ce temps chaud.
I'm entitled to my own opinion.	Je suis en droit à ma propre opinion.
I'm expecting a customer today.	J'attends un client aujourd'hui.
I'm fed up with all their lies.	Je suis fatigué de tous leurs mensonges.
I'm friends with a lot of cops.	Je suis ami avec de nombreux flics.
I'm friends with a lot of cops.	Je suis amie avec de nombreux flics.
I'm friends with a lot of them.	Je suis ami avec beaucoup d'entre eux.
I'm getting married in October.	Je vais me marier en octobre.
I'm getting used to doing that.	Je m'habitue à faire ça.
I'm getting used to doing that.	Je m'habitue à le faire.
I'm giving you one more chance.	Je te donne encore une chance.
I'm glad I don't have your job.	Je suis content de ne pas avoir ton travail.
I'm glad I don't have your job.	Je suis content de ne pas avoir votre travail.
I'm glad I was able to do this.	Je suis content d'avoir pu le faire.
I'm glad Tom was there with me.	Je suis heureux que Tom fut à mes cotés.
I'm glad to meet you, too, Tom.	Je suis aussi ravi de te rencontrer, Tom.
I'm going to Paris in the fall.	Je vais à Paris à l'automne.
I'm going to a concert tonight.	Je vais à un concert ce soir.
I'm going to be ready for that.	Je vais être prêt pour ça.
I'm going to buy Tom something.	Je vais acheter quelque chose à Tom.
I'm going to call an ambulance.	Je vais appeler une ambulance.
I'm going to do something else.	Je vais faire autre chose.
I'm going to kill him for this!	Je vais le tuer pour ça !
I'm going to meet him tomorrow.	Je vais le rencontrer demain.
I'm going to miss your cooking.	Ta cuisine me manquera.
I'm going to put it in my room.	Je vais le mettre dans ma chambre.
I'm going to tell you a secret.	Je vais te dire un secret.
I'm going to tell you a secret.	Je vais te conter un secret.
I'm going to tell you a secret.	Je vais vous dire un secret.
I'm going to tell you a secret.	Je vais vous conter un secret.
I'm having the time of my life.	Je m'amuse comme un fou.
I'm impressed with your French.	Je suis impressionné par votre français.
I'm impressed with your French.	Je suis impressionné par ton français.
I'm impressed with your French.	Je suis impressionnée par votre français.
I'm impressed with your French.	Je suis impressionnée par ton français.
I'm in love with somebody else.	Je suis amoureux de quelqu'un d'autre.
I'm in love with somebody else.	Je suis amoureuse de quelqu'un d'autre.
I'm invited to a party tonight.	Je suis invité à une fête ce soir.
I'm invited to a party tonight.	Je suis invitée à une soirée ce soir.
I'm just a plain office worker.	Je suis un simple employé de bureau.
I'm just telling you the truth.	Je te dis seulement la vérité.
I'm just telling you the truth.	Je vous dit juste la vérité.
I'm just trying to be friendly.	J'essaie simplement d'être amical.
I'm just trying to make a buck.	J'essaie juste de faire du fric.
I'm listening to country music.	J'écoute de la musique country.
I'm meeting someone for dinner.	Je rencontre quelqu'un pour dîner.
I'm meeting someone for dinner.	Je rencontre quelqu'un pour déjeuner.
I'm never angry without reason.	Je ne suis jamais en colère sans raison.
I'm not against outlawing guns.	Je ne suis pas contre l'interdiction des armes.
I'm not always free on Sundays.	Je ne suis pas toujours libre le dimanche.
I'm not ashamed that I am poor.	Je n'ai pas honte d'être pauvre.
I'm not asking your permission.	Je ne demande pas ta permission.
I'm not asking your permission.	Je ne demande pas votre permission.
I'm not certain Tom likes that.	Je ne suis pas certain que Tom aime ça.
I'm not certain Tom likes that.	Je ne suis pas certaine que Tom aime ça.
I'm not frightened of anything.	Je n'ai peur de rien.
I'm not going to repeat myself.	Je ne vais pas me répéter.
I'm not going to see you again.	Je ne vais pas te revoir.
I'm not going to show you this.	Je ne vais pas te montrer ceci.
I'm not going to show you this.	Je ne vais pas vous montrer ceci.
I'm not interested in politics.	Je ne m'intéresse pas à la politique.
I'm not married to Tom anymore.	Je ne suis plus mariée avec Tom.
I'm not married to Tom anymore.	Je ne suis plus marié avec Tom.
I'm not particularly impressed.	Je ne suis pas particulièrement impressionné.
I'm not particularly impressed.	Je ne suis pas particulièrement impressionnée.
I'm not really that interested.	Je n'y suis pas vraiment si intéressé.
I'm not really that interested.	Je n'y suis pas vraiment si intéressée.
I'm not sure I want to do this.	Je ne suis pas sûr de vouloir le faire.
I'm not sure I want to do this.	Je ne suis pas sûre de vouloir le faire.
I'm not sure of the exact date.	Je ne suis pas sûr de la date exacte.
I'm not sure that you're ready.	Je ne suis pas sûr que tu sois prêt.
I'm not sure that you're ready.	Je ne suis pas sûre que tu sois prêt.
I'm not sure that you're ready.	Je ne suis pas sûr que vous soyez prêt.
I'm not sure that you're ready.	Je ne suis pas sûre que vous soyez prêt.
I'm not sure that you're ready.	Je ne suis pas sûre que tu sois prête.
I'm not sure that you're ready.	Je ne suis pas sûr que tu sois prête.
I'm not sure that you're ready.	Je ne suis pas sûr que vous soyez prête.
I'm not sure that you're ready.	Je ne suis pas sûre que vous soyez prête.
I'm not sure that you're ready.	Je ne suis pas sûr que vous soyez prêts.
I'm not sure that you're ready.	Je ne suis pas sûre que vous soyez prêts.
I'm not sure that you're ready.	Je ne suis pas sûr que vous soyez prêtes.
I'm not sure that you're ready.	Je ne suis pas sûre que vous soyez prêtes.
I'm not sure this is necessary.	Je ne suis pas sûr que ceci soit nécessaire.
I'm not sure this is necessary.	Je ne suis pas certaine que ceci soit nécessaire.
I'm not surprised to hear that.	Je ne suis pas surpris d'entendre ça.
I'm not surprised to hear that.	Je ne suis pas surprise d'entendre cela.
I'm not understanding anything.	Je ne comprends rien.
I'm not worried about anything.	Rien ne me soucie.
I'm nothing but a poor peasant.	Je ne suis qu'un pauvre paysan.
I'm now in a delicate position.	Je suis maintenant dans une position délicate.
I'm on speaking terms with Tom.	Je suis en bons termes avec Tom.
I'm planning to move to Boston.	Je prévois de déménager à Boston.
I'm pleased with my new jacket.	Je suis content de ma nouvelle veste.
I'm reading the New York Times.	Je lis le New York Times.
I'm really glad I ran into you.	Je suis vraiment content d'être tombé sur toi.
I'm really glad I ran into you.	Je suis vraiment content d'être tombée sur toi.
I'm really not all that hungry.	Je n'ai vraiment pas aussi faim que ça.
I'm really proud of those guys.	Je suis vraiment fier de ces mecs.
I'm running Linux on my laptop.	Mon ordinateur portable tourne sous Linux.
I'm satisfied with the results.	Je suis satisfait des résultats.
I'm saving up to buy a new car.	J'économise pour acheter une nouvelle voiture.
I'm sending the invoice by fax.	J'envoie la facture par fax.
I'm sensing a lot of hostility.	Je ressens beaucoup d'hostilité.
I'm sorry for what I have done.	Je suis désolé pour ce que j'ai fait.
I'm sorry if I embarrassed you.	Je suis désolé si je vous ai embarrassé.
I'm sorry if I embarrassed you.	Je suis désolé si je vous ai embarrassés.
I'm sorry if I embarrassed you.	Je suis désolé si je vous ai embarrassées.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassé.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassée.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassées.
I'm sorry if I embarrassed you.	Je suis désolée si je vous ai embarrassés.
I'm sorry if I embarrassed you.	Je suis désolé si je t'ai embarrassée.
I'm sorry if I embarrassed you.	Je suis désolé si je t'ai embarrassé.
I'm sorry if I'm bothering you.	Je suis désolé si je te dérange.
I'm sorry if my words hurt you.	Je suis désolé si mes paroles te blessent.
I'm sorry that happened to you.	Je suis désolé que cela vous soit arrivé.
I'm sorry to have bothered you.	Je suis désolé de t'avoir dérangé !
I'm sorry to have bothered you.	Je suis désolé de t'avoir dérangée !
I'm sorry to have bothered you.	Je suis désolée de t'avoir dérangé !
I'm sorry to have bothered you.	Je suis désolée de t'avoir dérangée !
I'm sorry to have bothered you.	Je suis désolé de vous avoir dérangé !
I'm sorry to have bothered you.	Je suis désolée de vous avoir dérangé !
I'm sorry to have bothered you.	Je suis désolé de vous avoir dérangée !
I'm sorry to have bothered you.	Je suis désolée de vous avoir dérangée !
I'm sorry to have bothered you.	Je suis désolé de vous avoir dérangés !
I'm sorry to have bothered you.	Je suis désolée de vous avoir dérangés !
I'm sorry to have bothered you.	Je suis désolé de vous avoir dérangées !
I'm sorry to have bothered you.	Je suis désolée de vous avoir dérangées !
I'm sorry, I couldn't hear you.	Je suis désolé, je ne pouvais pas t'entendre.
I'm sorry, I couldn't hear you.	Je suis désolée, je ne pouvais pas t'entendre.
I'm sorry, I couldn't hear you.	Je suis désolé, je ne pouvais pas vous entendre.
I'm sorry, I couldn't hear you.	Je suis désolée, je ne pouvais pas vous entendre.
I'm sorry, I didn't catch that.	Je suis désolé, je n'ai pas saisi cela.
I'm sorry, I didn't catch that.	Je suis désolée, je n'ai pas saisi cela.
I'm sorry, I don't have change.	Je regrette, je n'ai pas de monnaie.
I'm sorry, I don't mean to pry.	Je suis désolé, je ne veux pas m'immiscer.
I'm sorry, I don't mean to pry.	Je suis désolée, je ne veux pas m'immiscer.
I'm sorry, but it's impossible.	Je suis désolé mais c'est impossible.
I'm sorry, that flight is full.	Je suis désolé, ce vol est complet.
I'm starting to feel desperate.	Je commence à me sentir désespéré.
I'm starting to feel desperate.	Je commence à me sentir désespérée.
I'm still angry because of her.	Je suis encore en colère à cause d'elle.
I'm still the boss around here.	C'est encore moi le patron, ici.
I'm still waiting for my order.	J'attends toujours ma commande.
I'm still waiting for my order.	J'attends toujours pour ma commande.
I'm sure Tom had a good reason.	Je suis sûre que Tom avait une bonne raison.
I'm sure Tom had a good reason.	Je suis sûr que Tom avait une bonne raison.
I'm sure everything will be OK.	Je suis sûre que tout ira bien.
I'm sure everything will be OK.	Je suis sûr que tout se passera bien.
I'm sure he will come tomorrow.	Je suis sûr qu'il viendra demain.
I'm sure she will turn up soon.	Je suis certain qu'elle va bientôt surgir.
I'm sure that Tom will do that.	Je suis sûre que Tom va le faire.
I'm sure you have other skills.	Je suis sûr que vous avez d'autres compétences.
I'm sure you have other skills.	Je suis sûre que vous avez d'autres compétences.
I'm sure you have other skills.	Tu as sûrement d'autres talents.
I'm surprised Tom remembers us.	Je suis surpris que Tom se souvienne de nous.
I'm surprised Tom remembers us.	Je suis surprise que Tom se souvienne de nous.
I'm surprised it was that easy.	Je suis surpris que ça ait été si facile.
I'm the one who asked for help.	C'est moi qui ai demandé de l'aide.
I'm the one who's been lied to.	Je suis celui auquel on a menti.
I'm the one who's going to die.	Je suis celui qui va mourir.
I'm the one who's going to die.	Je suis celle qui va mourir.
I'm the youngest in the family.	Je suis le benjamin de la famille.
I'm the youngest in the family.	Je suis le plus jeune enfant.
I'm the youngest in the family.	Je suis la plus jeune enfant.
I'm thinking of becoming a nun.	Je songe à devenir sœur.
I'm tired, but I'll study hard.	Je suis fatigué, mais je vais étudier avec application.
I'm too lazy to do my homework.	J'ai la flemme de faire mes devoirs.
I'm training for the triathlon.	Je m'entraîne pour le triathlon.
I'm used to cooking for myself.	J'ai l'habitude de me faire à manger.
I'm used to this sort of thing.	Je suis habitué à ce genre de choses.
I'm used to this sort of thing.	Je suis habituée à ce genre de choses.
I'm very glad that you're here.	Je suis très content que vous soyez là.
I'm very glad to see you again.	Je suis très content de vous revoir.
I'm very glad to see you again.	Je suis très content de te revoir.
I'm very glad to see you again.	Je suis très contente de vous revoir.
I'm very glad to see you again.	Je suis très contente de te revoir.
I'm very happy with my new car.	Je suis très content de ma nouvelle voiture.
I'm very interested in the job.	Je suis très intéressé par le poste.
I'm very much in favor of this.	Je suis très en faveur de cela.
I'm very proud of our students.	Je suis très fier de nos étudiants.
I'm very proud of our students.	Je suis très fière de nos étudiants.
I'm very sorry I voted for Tom.	Je suis désolé d'avoir voté pour Tom.
I'm very surprised to see that.	Je suis très surprise de voir ça.
I'm very surprised to see that.	Je suis très étonné de voir ça.
I'm watching a movie right now.	Je suis en train de regarder un film.
I'm working for a trading firm.	Je travaille pour une entreprise de commerce.
I‘m ironing my handkerchiefs.	Je repasse mes mouchoirs.
She is a woman of great beauty.	C'est une femme d'une grande beauté.
She is always dressed in black.	Elle est toujours habillée en noir.
She is always dressed in black.	Elle est toujours vêtue de noir.
She is always kind to everyone.	Elle est toujours gentille avec tout le monde.
She is anxious to visit Europe.	Elle est désireuse de visiter l'Europe.
She is appearing on TV tonight.	Elle passe à la télé ce soir.
She is appreciated by everyone.	Elle est appréciée de tout le monde.
She is aware of my secret plan.	Elle est au courant de mon projet secret.
She is certain to be surprised.	Elle est assurée d'être surprise.
She is certain to come on time.	Elle est certaine de venir à temps.
She is devoted to her children.	Elle est dévouée à ses enfants.
She is getting breakfast ready.	Elle est en train de préparer le petit-déjeuner.
She is lacking in common sense.	Elle manque de sens commun.
She is not what she used to be.	Elle n'est plus ce qu'elle était.
She is very afraid of the dark.	Elle a très peur du noir.
She is very cynical about life.	Elle a une conception cynique de la vie.
She is wearing a valuable ring.	Elle porte une bague de prix.
She isn't adequate to the task.	Elle ne convient pas à la tâche.
She said she had a slight cold.	Elle a dit qu'elle avait un léger rhume.
She said that it might be true.	Elle dit que cela pouvait être vrai.
She said that it might be true.	Elle a dit que cela pouvait être vrai.
She sat next to him on the bus.	Elle s'assit près de lui dans le bus.
She scolded him for being late.	Elle le sermonna pour son retard.
She scolded him for being late.	Elle le réprimanda pour son retard.
She scolded him for being late.	Elle l'a sermonné pour son retard.
She scolded him for being late.	Elle l'a réprimandé pour son retard.
She sent me an urgent telegram.	Elle m'a envoyé un télégramme urgent.
She speaks English really well.	Elle parle vraiment bien l'anglais.
She stood close to her husband.	Elle restait proche de son mari.
She's dependent on her husband.	Elle dépend de son mari.
She's dependent on her husband.	Elle dépend de son époux.
She's looking for a better job.	Elle cherche un meilleur emploi.
She's the most beautiful woman.	C'est la plus belle femme.
She's two years older than him.	Elle a deux ans de plus que lui.
She's used to getting up early.	Elle est habituée à se lever tôt.
She's very interested in music.	Elle s'intéresse beaucoup à la musique.
She's worrying about her exams.	Elle s'inquiète pour ses examens.
They are a peace-loving people.	Ce sont des personnes pacifiques.
They are all innocent children.	Ce sont tous des enfants innocents.
They are always short of money.	Ils sont toujours à court d'argent.
They are happy with the result.	Ils sont contents du résultat.
They are in the teachers' room.	Ils sont en salle des professeurs.
They are in the teachers' room.	Ils sont en salle des profs.
They are loyal to their master.	Ils sont loyaux envers leur maître.
They are not at all interested.	Ils ne sont pas du tout intéressés.
They are not at all interested.	Elles ne sont pas du tout intéressées.
They're eating high on the hog.	Ils mènent grand train.
They're going to make mistakes.	Ils vont commettre des erreurs.
They're going to make mistakes.	Elles vont commettre des erreurs.
They're keeping it under wraps.	Ils le tiennent secret.
They're keeping it under wraps.	Ils le gardent secret.
They're suffering from malaria.	Ils souffrent du paludisme.
We are facing a violent crisis.	Nous faisons face à une crise violente.
We are flying over the Pacific.	Nous volons au-dessus du Pacifique.
We are going to leave tomorrow.	Nous allons partir demain.
We are sorry we can't help you.	Nous regrettons de ne pas pouvoir vous aider.
We are sorry we can't help you.	Nous sommes désolés de ne pas pouvoir vous aider.
We're all after the same thing.	Nous sommes tous après la même chose.
We're doing this for the money.	Nous le faisons pour l'argent.
We're done answering questions.	Nous avons fini de répondre aux questions.
We're eating breakfast indoors.	Nous prenons le petit déjeuner à l'intérieur.
We're going back to square one.	On retourne à la case départ.
We're going to be working late.	Nous allons travailler tard.
We're going to freeze to death.	Nous allons mourir de froid.
We're going to have a good day.	Nous passerons une bonne journée.
We're going to miss doing this.	Nous allons manquer de faire ceci.
We're going to miss doing this.	Nous manquerons de faire ceci.
We're going to wait in the car.	Nous allons attendre dans la voiture.
We're not doing anything wrong.	Nous ne faisons rien de mal.
We're not open on Thanksgiving.	Nous ne sommes pas ouvert pour Thanksgiving.
We're not out of the woods yet.	Nous ne sommes pas encore sortis de l'auberge.
We're planning to do just that.	Nous planifions de faire seulement cela.
We're so glad to have you here.	Nous sommes tellement contents de vous avoir ici !
We're so glad to have you here.	Nous sommes tellement contentes de vous avoir ici !
We're so glad to have you here.	Nous sommes tellement contents de t'avoir ici !
We're so glad to have you here.	Nous sommes tellement contentes de t'avoir ici !
We're waiting for you to leave.	Nous attendons que tu sois parti.
You are abusing your authority.	Tu abuses de ton autorité.
You are abusing your authority.	Vous abusez de votre autorité.
You are no longer welcome here.	Vous n'êtes plus le bienvenu ici.
You are no longer welcome here.	Vous n'êtes plus les bienvenus ici.
You are no longer welcome here.	Vous n'êtes plus les bienvenues ici.
You are no longer welcome here.	Vous n'êtes plus la bienvenue ici.
You are no longer welcome here.	Tu n'es plus le bienvenu ici.
You are no longer welcome here.	Tu n'es plus la bienvenue ici.
You are not to leave this room.	Vous ne devez pas quitter cette pièce.
You are not to leave this room.	Tu ne dois pas quitter cette pièce.
You're a hundred percent right.	Tu as raison à cent pour cent.
You're a hundred percent right.	Vous avez raison à cent pour cent.
You're a very attractive woman.	Tu es une femme très attirante.
You're a very attractive woman.	Vous êtes une femme très séduisante.
You're being bossy, aren't you?	Tu es autoritaire, non ?
You're being very unfair to me.	Tu deviens très injuste envers moi.
You're fluent in French, right?	Tu parles français couramment, n'est-ce pas ?
You're fluent in French, right?	Vous parlez français couramment, n'est-ce pas ?
You're going to love this book.	Vous allez adorer ce livre.
You're going to love this book.	Vous adorerez ce livre.
You're going to ruin your eyes.	Tu vas te bousiller les yeux.
You're going to ruin your eyes.	Vous allez vous bousiller les yeux.
You're in a strange mood today.	Tu es d'une humeur étrange, aujourd'hui.
You're much taller than Tom is.	Tu es bien plus grand que Tom.
You're my friends, both of you.	Vous êtes mes amis, tous les deux.
You're not getting any younger.	Tu ne rajeunis pas.
You're not in a hurry, are you?	Tu n'es pas pressé, n'est-ce pas ?
You're not in a hurry, are you?	Tu n'es pas pressée, n'est-ce pas ?
You're not in a hurry, are you?	Vous n'êtes pas pressé, n'est-ce pas ?
You're not in a hurry, are you?	Vous n'êtes pas pressés, n'est-ce pas ?
You're not in a hurry, are you?	Vous n'êtes pas pressée, n'est-ce pas ?
You're not in a hurry, are you?	Vous n'êtes pas pressées, n'est-ce pas ?
You're not old enough to drink.	Tu n'es pas suffisament âgé pour boire.
You're not supposed to be here.	Vous n'êtes pas supposé vous trouver là.
You're not supposed to be here.	Tu n'es pas supposé te trouver là.
You're not the only woman here.	Tu n'es pas la seule femme ici.
You're not the only woman here.	Tu n'es pas l'unique femme ici.
You're not the only woman here.	Vous n'êtes pas la seule femme ici.
You're not the only woman here.	Vous n'êtes pas l'unique femme ici.
You're one of them, aren't you?	Tu en fais partie, n'est-ce pas ?
You're one of them, aren't you?	Vous en faites partie, n'est-ce pas ?
You're shivering. Are you cold?	Tu frissonnes. Tu as froid ?
You're shivering. Are you cold?	Vous frissonnez. Vous avez froid ?
You're starting to warm up now.	Tu commences à t'échauffer maintenant.
You're staying with Tom, right?	Tu restes avec Tom, n'est-ce pas ?
You're staying with Tom, right?	Vous restez avec Tom, n'est-ce pas ?
You're the one that went crazy.	C'est toi qui t'es emballé.
You're the one that went crazy.	C'est vous qui vous vous êtes emballé.
You're the one that went crazy.	C'est toi qui t'es emballée.
You're the one that went crazy.	C'est vous qui vous vous êtes emballée.
You're the only one for me now.	Tu es le seul pour moi maintenant.
You're the only one for me now.	Tu es la seule pour moi désormais.
You're the only one for me now.	Vous êtes le seul désormais pour moi.
You're the only one for me now.	Vous êtes la seule désormais pour moi.
You're the tallest person here.	Vous êtes la plus grande personne ici.
You're the tallest person here.	Tu es la personne la plus grande ici.
You're wanted on the telephone.	On vous demande au téléphone.
He is a good speaker of English.	Il est bon en anglais.
He is a member in good standing.	C'est un membre estimé.
He is a member of the committee.	C'est un membre du comité.
He is a very imaginative writer.	C'est un écrivain très imaginatif.
He is a very imaginative writer.	C'est un écrivain plein d'imagination.
He is about to leave for London.	Il est sur le point de partir pour Londres.
He is absent because of illness.	Il est absent pour cause de maladie.
He is acquainted with the mayor.	Il connaît le maire.
He is afraid of his grandfather.	Il a peur de son grand-père.
He is afraid of making mistakes.	Il a peur de faire des erreurs.
He is afraid of making mistakes.	Il craint de commettre des erreurs.
He is always looking for praise.	Il cherche toujours les compliments.
He is apt to forget his promise.	Il est susceptible d'oublier sa promesse.
He is careful about his manners.	Il fait attention à ses manières.
He is endowed with many talents.	Il est doté de nombreux talents.
He is getting better bit by bit.	Il s'améliore petit à petit.
He is going to explain it to me.	Il va me l'expliquer.
He is included among my friends.	Il compte parmi mes amis.
He is included among my friends.	Il fait partie de mes amis.
He is married with two children.	Il est marié et a deux enfants.
He is my brother, not my father.	C'est mon frère, pas mon père.
He is not as tall as his father.	Il n'est pas aussi grand que son père.
He is not ashamed of being poor.	Il n'a pas honte d'être pauvre.
He is not qualified for the job.	Il n'est pas qualifié pour ce poste.
He is not rich, but he is happy.	Il n'est pas riche, mais il est heureux.
He is old enough to drive a car.	Il est assez âgé pour conduire une voiture.
He is proud of being a musician.	Il est fier d'être musicien.
He is reasonable in his demands.	Il est raisonnable dans ses exigences.
He is related to me by marriage.	Il est mon parent par alliance.
He is satisfied with the result.	Il est satisfait du résultat.
He is suffering from a headache.	Il souffre d'un mal de tête.
He is taller than any other boy.	Il est plus grand que tous les autres garçons.
He is the happiest man on earth.	C'est l'homme le plus heureux du monde.
He is unpopular for some reason.	Il est impopulaire pour une raison quelconque.
He is very afraid of his mother.	Il a très peur de sa mère.
He is well known in our country.	Il est bien connu dans notre pays.
He isn't back from the mountain.	Il n'est pas revenu de la montagne.
He's an expert with a slingshot.	C'est un expert à la fronde.
He's been teaching for 20 years.	Il enseigne depuis 20 ans.
He's been teaching for 20 years.	Cela fait vingt ans qu'il enseigne.
He's good at this sort of thing.	Il est bon à ce genre de choses.
He's in danger of being evicted.	Il risque d'être expulsé.
He's in good physical condition.	Il est en bonne condition physique.
He's leaving for Tokyo tomorrow.	Il part pour Tokyo demain.
He's lived here his entire life.	Il a vécu ici sa vie entière.
He's lived here his entire life.	Il a vécu ici toute sa vie.
He's my friend. Do you know him?	C'est mon ami. Le connaissez-vous ?
He's my friend. Do you know him?	C'est mon ami. Le connais-tu ?
He's saving up to go to college.	Il économise pour pouvoir aller à l'université.
He's starting to feel desperate.	Il commence à se sentir désespéré.
He's three years older than her.	Il a 3 ans de plus qu'elle.
He's three years older than her.	Il est 3 ans plus vieux qu'elle.
He's three years older than her.	Il est plus vieux qu'elle de 3 ans.
He's three years older than her.	Il est plus âgé qu'elle de trois ans.
He's three years older than her.	Il a trois ans de plus qu'elle.
He's three years older than her.	Il est de trois ans plus âgé qu'elle.
He's used to speaking in public.	Il est habitué à parler en public.
I am accustomed to cold weather.	Je suis accoutumé au temps froid.
I am accustomed to living alone.	Je suis habitué à vivre seul.
I am accustomed to living alone.	Je suis habituée à vivre seule.
I am accustomed to working hard.	Je suis habitué à travailler dur.
I am accustomed to working hard.	Je suis habituée à travailler dur.
I am acquainted with the author.	Je connais l'auteur.
I am acquainted with the custom.	J'ai connaissance de cette coutume.
I am afraid I ate something bad.	Je crains d'avoir mangé quelque chose de mauvais.
I am afraid I must be going now.	J'ai peur de devoir partir maintenant.
I am against working on Sundays.	Je suis contre le travail du dimanche.
I am badly in need of your help.	J'ai vraiment besoin de ton aide.
I am concerned about his health.	Je suis concerné par sa santé.
I am convinced of his innocence.	Je suis convaincu de son innocence.
I am familiar with this subject.	Je connais bien ce sujet.
I am familiar with this subject.	Je suis habitué à ce problème.
I am fixing the washing machine.	Je répare le lave-linge.
I am fond of playing the guitar.	J'aime bien jouer de la guitare.
I am going on a picnic tomorrow.	Je me rends à un pic-nic demain.
I am going to the swimming pool.	Je vais à la piscine.
I am not always free on Sundays.	Je ne suis pas toujours libre le dimanche.
I am not frightened of anything.	Je n'ai peur de rien.
I am not in the least surprised.	Je ne suis absolument pas surpris.
I am relieved that you are safe.	Je suis soulagé que vous soyez sain et sauf.
